Évek;Kód;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Városok;;;;;;;;;;;;;;;;
Bruxelles/Brussel;BE001C;1018804;1031215;1048491;1068532;1089538;1136778;1159448;1174624;1183841;1196831;1201129;1199095;1205492;1215289;1223364
Antwerpen;BE002C;461496;466203;472071;477936;483505;498473;507368;512230;513915;515593;517731;520859;523591;526439;530014
Gent;BE003C;233120;235143;237250;240049;243366;248358;249205;249754;251984;253914;257226;259462;260329;262205;263687
Charleroi;BE004C;201300;201550;201593;202234;202598;204150;204762;204826;203640;203228;202602;201884;202341;202637;203314
Liège;BE005C;362932;365741;367612;369487;371880;377263;379978;382009;382637;382852;382488;383725;383710;383482;383700
Brugge;BE006C;117224;116982;117073;116969;116741;117260;117617;118145;117886;118335;118219;118393;118526;118569;118916
Sofia;BG001C;1148429;1154010;1156796;1162898;1165503;1202921;1208097;1213542;1221292;1228282;1231981;1236047;1238438;1241675;1242568
Plovdiv;BG002C;341873;343662;345249;347600;348465;338062;338184;339129;341041;341567;341625;343424;345213;346893;347851
Varna;BG003C;311796;311465;313983;318313;320837;334486;334781;334744;335819;335949;334466;335177;335854;336505;336216
Burgas;BG004C;189245;188887;187514;188861;193765;200261;199484;199083;199364;198725;203017;202766;202694;202434;201779
Pleven;BG005C;113700;113382;112570;112372;111426;107101;105673;104416;103122;101978;99628;98467;97557;96610;95086
Ruse;BG006C;157540;157526;156761;156959;156509;149750;149134;148350;147817;147055;145765;144936;144125;142902;141231
Vidin;BG007C;52558;51602;50547;50185;49471;48095;47382;46877;46068;45327;43595;42801;42195;41583;40620
Berlin;DE001C;3395189;3404037;3416255;3431675;3442675;3460725;3326002;3375222;3421829;3469849;3520031;3574830;3613495;3644826;3669491
Hamburg;DE002C;1743627;1754182;1770629;1772100;1774224;1786448;1718187;1734272;1746342;1762791;1787408;1810438;1830584;1841179;1847253
München;DE003C;1259677;1294608;1311573;1326807;1330440;1353186;1364920;1388308;1407836;1429584;1450381;1464301;1456039;1471508;1484226
Köln;DE004C;983347;989766;995397;995420;998105;1007119;1013665;1024373;1034175;1046680;1060582;1075935;1080394;1085664;1087863
Frankfurt am Main;DE005C;651899;652610;659021;664838;671927;679664;676533;687775;701350;717624;732688;736414;746878;753056;763380
Essen;DE006C;585430;583198;582140;579759;576259;574635;565900;566862;569884;573784;582624;583084;583393;583109;582760
Leipzig;DE008C;502651;506578;510512;515469;518862;522883;510043;520838;531562;544479;560472;571088;581980;587857;593145
Dresden;DE009C;495181;504795;507513;512234;517052;523058;517765;525105;530754;536308;543825;547172;551072;554649;556780
Dortmund;DE010C;588168;587624;586909;584412;581308;580444;571403;572087;575944;580511;586181;585813;586600;587010;588250
Düsseldorf;DE011C;574514;577505;581122;584217;586217;588735;589649;593682;598686;604527;612178;613230;617280;619294;621877
Bremen;DE012C;546852;547934;547769;547360;547685;547340;544043;546451;548547;551767;557464;565719;568006;569352;567559
Hannover;DE013C;515729;516343;518069;519619;520966;522686;509485;514137;518386;523642;532163;532864;535061;538068;536925
Nürnberg;DE014C;499237;500855;503110;503638;503673;505664;490085;495121;498876;501072;509975;511628;515201;518365;518370
Bochum;DE015C;385626;383743;381542;378596;376319;374737;362585;362213;361734;361876;364742;364920;365529;364628;365587
Bielefeld;DE016C;326925;325846;324912;323615;323084;323270;327199;328314;328864;329782;333090;333451;332552;333786;334195
Halle an der Saale;DE017C;237198;235720;234295;233013;232323;232963;230494;231440;231565;232470;236991;238005;239173;239257;238762
